x,y,class
1.6294,1.1041,1
1.8116,2.7188,1
0.25397,2.6204,1
1.8268,0.65045,1
1.2647,0.47599,1
0.19508,1.9935,1
0.557,3.839,1
1.0938,1.3615,1
1.915,2.3411,1
1.9298,0.89525,1
0.31523,3.0051,1
1.9412,1.0204,1
1.9143,2.0238,1
0.97075,2.7963,1
1.6006,3.5636,1
0.28377,3.8372,1
0.84352,2.1889,1
1.8315,0.5545,1
1.5844,0.59718,1
1.919,1.03,1
1.3115,3.3629,1
0.071423,1.0171,1
1.6983,3.2571,1
1.868,0.9741,1
1.3575,3.7171,1
1.5155,1.3999,1
1.4863,0.78638,1
0.78445,1.0043,1
1.311,2.4642,1
0.34237,1.8932,1
1.4121,1.4066,1
0.063666,3.3233,1
0.55385,2.3411,1
0.092343,2.1989,1
0.19426,3.6688,1
1.6469,1.1434,1
1.3897,3.0288,1
0.6342,3.0149,1
1.9004,1.5218,1
0.068892,2.2713,1
0.87749,0.30342,1
0.76312,0.2158,1
1.531,2.1232,1
1.5904,3.1167,1
0.37375,3.736,1
0.97953,0.51962,1
0.89117,2.2753,1
1.2926,1.8776,1
1.4187,0.047608,1
1.5094,1.3485,1
2.3244,1.6691,4
3.5886,0.19862,4
2.6224,3.6109,4
3.0571,3.7791,4
2.3313,1.9635,4
3.204,1.957,4
2.5259,1.3509,4
3.3082,3.6002,4
3.3784,1.477,4
3.4963,0.44481,4
2.9011,3.121,4
2.1676,1.559,4
2.458,0.96677,4
3.8267,1.6156,4
2.3048,0.38582,4
3.6516,0.52789,4
3.0767,3.7682,4
3.9923,3.8245,4
2.1564,2.3008,4
2.8854,0.23912,4
2.2133,0.93912,4
3.9238,1.4126,4
2.0093,3.2848,4
3.5498,0.061614,4
3.6346,0.1721,4
3.7374,0.67596,4
2.1689,2.5965,4
2.7996,2.9269,4
2.5197,2.591,4
3.6001,1.8037,4
2.8628,2.188,4
3.8213,1.1853,4
2.3637,2.9788,4
2.5276,0.75582,4
2.2911,2.7471,4
2.2721,0.73404,4
